id de la partícula "i" 	-	 id's de las partículas cuya distancia borde-borde es menos de rc 
1176	-	884, 6, 1071, 951, 665, 901, 474, 1535, 791, 899, 1005, 234, 626, 1378, 637, 203, 1292, 895, 1381, 588, 765, 553, 122, 1524, 799, 1242, 279, 490, 771, 
1005	-	884, 6, 1071, 951, 665, 901, 474, 1535, 899, 1176, 234, 626, 1378, 637, 203, 1292, 895, 1381, 588, 1524, 490, 913, 260, 1193, 382, 
234	-	567, 884, 6, 1071, 951, 665, 474, 899, 1176, 1005, 626, 1378, 637, 203, 1292, 895, 1381, 588, 1189, 765, 553, 539, 122, 1524, 1242, 490, 260, 1193, 382, 
626	-	567, 884, 6, 1071, 951, 665, 899, 1176, 1005, 234, 1378, 637, 1292, 895, 1381, 83, 913, 621, 260, 1119, 274, 755, 1241, 1193, 266, 382, 
1378	-	6, 1071, 951, 665, 232, 750, 901, 469, 474, 624, 1535, 791, 899, 1176, 1005, 234, 626, 637, 203, 1292, 895, 1381, 588, 1524, 490, 
637	-	6, 1071, 951, 901, 469, 474, 1092, 624, 1535, 791, 899, 1176, 1005, 234, 626, 1378, 203, 1292, 895, 1381, 588, 1524, 799, 279, 490, 771, 
203	-	6, 901, 474, 791, 1053, 1341, 899, 1176, 1005, 234, 1378, 637, 1292, 895, 1381, 588, 765, 553, 122, 1524, 799, 1242, 279, 490, 771, 
1292	-	884, 6, 1071, 951, 665, 901, 474, 1535, 791, 899, 1176, 1005, 234, 626, 1378, 637, 203, 895, 1381, 588, 765, 1524, 490, 771, 
895	-	567, 884, 6, 1071, 951, 665, 474, 899, 1176, 1005, 234, 626, 1378, 637, 203, 1292, 1381, 588, 1189, 765, 553, 539, 122, 1524, 490, 913, 260, 755, 1193, 382, 
1381	-	884, 6, 1071, 951, 665, 901, 474, 1535, 791, 899, 1176, 1005, 234, 626, 1378, 637, 203, 1292, 895, 588, 765, 553, 122, 1524, 799, 1242, 279, 490, 771, 
588	-	901, 570, 474, 511, 1092, 624, 1535, 791, 1053, 1341, 899, 1176, 1005, 234, 1378, 637, 203, 1292, 895, 1381, 1524, 799, 1242, 279, 490, 771, 
