id de la partícula "i" 	-	 id's de las partículas cuya distancia borde-borde es menos de rc 
121	-	72, 133, 148, 255, 364, 430, 586, 590, 596, 603, 615, 734, 796, 812, 893, 1171, 1195, 1220, 1246, 1312, 1402, 1403, 1444, 1469, 1471, 1488, 1500, 
122	-	6, 11, 95, 203, 219, 234, 256, 490, 529, 539, 553, 567, 765, 771, 775, 799, 884, 895, 960, 1108, 1162, 1176, 1189, 1230, 1242, 1361, 1373, 1381, 1434, 1524, 
123	-	19, 24, 40, 172, 204, 274, 289, 330, 347, 366, 405, 479, 532, 579, 777, 790, 794, 857, 916, 940, 966, 1006, 1025, 1099, 1115, 1264, 1352, 1396, 1514, 
124	-	7, 63, 105, 178, 212, 222, 271, 273, 413, 445, 480, 496, 530, 561, 741, 745, 769, 878, 881, 900, 999, 1028, 1224, 1440, 1473, 1487, 1513, 1525, 
125	-	44, 209, 232, 248, 303, 379, 410, 466, 469, 502, 542, 548, 575, 614, 624, 648, 661, 690, 706, 719, 750, 784, 917, 952, 1019, 1134, 1183, 1380, 1482, 
126	-	5, 22, 207, 208, 244, 340, 380, 501, 515, 646, 708, 729, 740, 762, 821, 943, 1090, 1173, 1253, 1395, 1409, 1410, 1467, 1520, 1527, 
127	-	19, 147, 172, 199, 204, 366, 460, 579, 584, 766, 809, 815, 916, 950, 966, 1025, 1050, 1099, 1102, 1115, 1276, 1284, 1309, 1333, 1503, 
128	-	170, 201, 246, 287, 325, 577, 592, 627, 640, 663, 679, 751, 805, 825, 852, 924, 949, 990, 998, 1049, 1151, 1372, 1428, 1442, 1448, 1461, 
129	-	57, 92, 108, 117, 308, 336, 433, 505, 600, 635, 644, 749, 866, 923, 925, 1009, 1034, 1057, 1064, 1086, 1105, 1251, 1268, 1302, 1337, 1345, 1366, 1493, 1510, 1522, 
130	-	27, 67, 383, 385, 398, 607, 650, 681, 728, 845, 937, 959, 993, 1032, 1101, 1135, 1192, 1221, 1247, 1258, 1261, 1266, 1343, 1354, 1509, 
131	-	76, 112, 329, 351, 420, 465, 477, 574, 641, 770, 862, 883, 932, 946, 954, 1077, 1385, 1401, 1438, 1480, 1481, 1486, 
132	-	7, 78, 104, 105, 143, 217, 273, 310, 322, 360, 468, 480, 494, 495, 521, 671, 769, 813, 869, 902, 999, 1091, 1145, 1271, 1324, 1334, 1414, 1491, 
133	-	72, 121, 171, 255, 364, 491, 523, 586, 589, 590, 596, 603, 615, 752, 812, 893, 933, 934, 1117, 1195, 1217, 1246, 1283, 1308, 1319, 1346, 1402, 1403, 1431, 1444, 1469, 1471, 1523, 
134	-	50, 152, 253, 263, 384, 441, 558, 599, 606, 668, 726, 747, 826, 970, 994, 1051, 1079, 1104, 1198, 1231, 1257, 1259, 1273, 1318, 1416, 1424, 1485, 
135	-	15, 74, 168, 184, 187, 272, 374, 399, 400, 452, 476, 571, 711, 830, 854, 915, 972, 1083, 1152, 1275, 1338, 1348, 1351, 1407, 
136	-	37, 58, 259, 324, 375, 411, 420, 451, 477, 574, 647, 737, 770, 862, 879, 883, 914, 932, 946, 973, 1112, 1362, 1385, 1393, 1438, 1480, 
137	-	14, 64, 86, 107, 150, 236, 284, 473, 601, 702, 758, 1007, 1008, 1067, 1076, 1140, 1269, 1301, 1356, 1498, 
138	-	110, 167, 251, 295, 406, 407, 436, 439, 461, 517, 522, 595, 666, 754, 776, 982, 1022, 1087, 1107, 1181, 1184, 1211, 1219, 1270, 1417, 
139	-	20, 116, 226, 493, 632, 807, 876, 1052, 1216, 1250, 1288, 1342, 1474, 
140	-	42, 47, 184, 205, 211, 331, 337, 350, 471, 476, 492, 534, 540, 560, 597, 659, 675, 703, 836, 842, 986, 1042, 1070, 1132, 1280, 1287, 1347, 1348, 1369, 1427, 1454, 1489, 
141	-	106, 118, 161, 282, 442, 484, 667, 738, 803, 817, 905, 929, 1031, 1158, 1186, 1226, 1248, 1286, 1293, 1303, 1307, 1447, 1462, 1465, 1517, 
142	-	52, 53, 181, 197, 214, 241, 327, 444, 449, 470, 475, 562, 630, 664, 723, 764, 906, 922, 1045, 1133, 1234, 1243, 1327, 1483, 1508, 
143	-	7, 16, 78, 104, 105, 132, 322, 360, 494, 495, 521, 628, 671, 757, 813, 869, 902, 999, 1091, 1145, 1222, 1271, 1324, 1334, 1368, 1491, 
144	-	59, 62, 63, 106, 282, 328, 333, 455, 555, 604, 655, 710, 716, 733, 810, 870, 929, 1226, 1244, 1245, 1307, 1311, 1515, 
145	-	68, 155, 237, 283, 412, 483, 526, 535, 566, 594, 636, 714, 833, 867, 907, 1060, 1129, 1164, 1201, 1228, 1237, 1249, 1260, 1335, 1415, 1519, 
146	-	3, 32, 54, 94, 120, 323, 373, 435, 441, 446, 518, 599, 602, 622, 692, 829, 838, 1106, 1313, 1456, 1476, 
147	-	19, 127, 199, 298, 366, 460, 584, 809, 815, 822, 950, 1072, 1102, 1276, 1284, 1300, 1309, 1333, 1397, 1503, 
148	-	72, 121, 364, 572, 585, 586, 603, 619, 734, 783, 796, 800, 812, 1037, 1171, 1195, 1220, 1246, 1312, 1403, 1469, 1488, 1500, 
